,Merge,Address,Average_price_PANDA,Average_price_UBER,Cuisine_PANDA,Cuisine_UBER,Cuisine_single_PANDA,Cuisine_single_UBER,Delivery_PANDA,Delivery_UBER,Dollar_signs,Exclusivity,Food_type,Name_PANDA,Name_UBER,Promotion,Ratings_PANDA,Ratings_UBER,Reviews_PANDA,Reviews_UBER
0,pho 5,"17 Tsing Fung Street, G/F, Causeway Bay, Hong Kong Island
 • 
More info",37.096774193548384,48.0,"['Vietnamese', 'Salad', 'Limited Offers', 'Dine-in Price', 'Carousel Deals']","['Vietnamese', 'Allergy friendly', 'Family friendly']",Vietnamese,Vietnamese,HK$ 12 delivery fee,14.0,2.0,0,"$$ • Vietnamese
 • 
Allergy friendly
 • 
Family friendly",pho 5 (tin hau),火五越式牛肉粉專門店 pho 5 (tin hau),50% off,4/5,4.2,804.0,100
1,subway,"218 Electric Rd, North Point, Hong Kong, SHOP 6, G/F,,
 • 
More info",39.48484848484848,44.0,"['Burger', 'Western', 'Salad']","['Fast Food', 'Western', 'Vegan']",Burger,Fast Food,HK$ 12 delivery fee,19.0,2.0,0,"$$ • Fast Food
 • 
Western
 • 
Vegan",subway (fortress hill),subway (fortress hill),,4.5/5,4.5,605.0,59
2,jiu fen full,"Universal Commercial House, 4 Shell St, Causeway Bay, Hong Kong, Shop 1-3, G/F,,
 • 
More info",31.249180327868853,29.0,"['Taiwanese', 'Tea Time', 'Carousel Deals']","['Taiwanese', 'Family friendly']",Taiwanese,Taiwanese,HK$ 12 delivery fee,19.0,2.0,0,"$$ • Taiwanese
 • 
Family friendly",jiu fen full (north point),九份飽 jiu fen full (蜆殼街 shell street),10% off $80,4.4/5,4.5,1035.0,100
3,europa tea foundry,"22 Yee Wo St, Causeway Bay, Hong Kong, Shop 3, G/F,
 • 
More info",43.69230769230769,40.0,"['Drinks', 'Hong Kong']",['Bubble Tea'],Drinks,Bubble Tea,HK$ 20 delivery fee,24.0,1.0,0,$ • Bubble Tea,europa tea foundry (cwb),木衛二鑄茶所 europa tea foundry (銅鑼灣 causeway bay),,4.7/5,4.9,215.0,50
4,cupfy,"Hysan Place, 500 Hennessy Road, Causeway Bay, Hong Kong, Shop 903A, 9/F,, Hong Kong 0000
 • 
More info",32.740540540540536,35.0,"['Drinks', 'Taiwanese', 'Only on foodpanda']","['Bubble Tea', 'Desserts', 'Coffee and tea']",Drinks,Bubble Tea,HK$ 20 delivery fee,19.0,2.0,1,"$$ • Bubble Tea
 • 
Desserts
 • 
Coffee and tea",cupfy (causeway bay),cupfy 走杯 (銅鑼灣 causeway bay),10% off $200,4.6/5,4.8,23.0,22
5,cali-mex bar & grill,"Shop 20-21, Aia Tower, 183 Electric Rd, North Point, Hong Kong, G/F,,
 • 
More info",116.6178861788618,123.0,"['American', 'Western', 'Mexican', 'Salad', 'Dine-in Price']","['Mexican', 'Healthy', 'Vegetarian', 'Burger', 'Alcohol', 'Wings', 'Seafood', 'Desserts']",American,Mexican,HK$ 12 delivery fee,14.0,1.0,0,"$ • Mexican
 • 
Healthy
 • 
Vegetarian
 • 
Burger
 • 
Alcohol
 • 
Wings
 • 
Seafood
 • 
Desserts",cali-mex bar & grill (north point),cali-mex bar & grill (north point),,4.4/5,4.5,1284.0,61
6,bhc,"535 Jaffe Rd, Shop B03, Basement, Tower 535,, Hong Kong Island
 • 
More info",145.44186046511632,139.0,"['Fast Food', 'Korean']",['Korean'],Fast Food,Korean,HK$ 20 delivery fee,,1.0,0,$ • Korean,bhc (causeway bay),bhc (causeway bay),,4.4/5,4.1,190.0,21
7,hogology,"Caroline Hill Rd, Causeway Bay, Hong Kong, G/F, ,
 • 
More info",31.37037037037037,58.0,['Taiwanese'],"['Cantonese', 'Taiwanese']",Taiwanese,Cantonese,HK$ 20 delivery fee,19.0,1.0,0,"$ • Cantonese
 • 
Taiwanese",hogology (causeway bay),炊豕店 hogology (銅鑼灣 causeway bay),,4.4/5,4.5,333.0,62
8,wing's catering,"6 Haven St, So Kon Po, Hong Kong, G/F,
 • 
More info",39.0566037735849,36.0,"['Noodles', 'Chinese', 'Carousel Deals']",['Chinese'],Noodles,Chinese,HK$ 20 delivery fee,19.0,1.0,0,$ • Chinese,wing's catering (haven street),榮式燒雞扒 wing's catering (銅鑼灣 causeway bay),10% off $80,4.4/5,4.7,862.0,80
9,jar-jar-bar by peek-a-poke,"128～138號 Leighton Rd, So Kon Po, Hong Kong, Shop 38, G/F,,
 • 
More info",73.5,90.0,"['Western', 'Salad', 'Carousel Deals']",['American'],Western,American,HK$ 20 delivery fee,19.0,1.0,0,$ • American,jar-jar-bar by peek-a-poke,jar-jar-bar by peek-a-poke,10% off $80,4.4/5,4.6,56.0,43
